judge,face,cond,C1,C2,rating
29,37,A,-0.5,0,6
52,37,A,-0.5,0,1
62,37,A,-0.5,0,1
50,37,A,-0.5,0,1
4,37,A,-0.5,0,4
9,37,A,-0.5,0,2
56,37,A,-0.5,0,1
49,37,A,-0.5,0,3
64,37,A,-0.5,0,1
47,37,A,-0.5,0,2
68,37,A,-0.5,0,1
63,37,A,-0.5,0,2
42,37,A,-0.5,0,1
31,37,A,-0.5,0,2
33,37,A,-0.5,0,2
57,37,A,-0.5,0,1
25,37,A,-0.5,0,3
45,37,A,-0.5,0,1
30,37,A,-0.5,0,4
18,37,A,-0.5,0,2
40,37,A,-0.5,0,2
65,37,A,-0.5,0,6
66,41,A,-0.5,0,3
20,41,A,-0.5,0,5
22,41,A,-0.5,0,5
69,41,A,-0.5,0,1
7,41,A,-0.5,0,2
41,41,A,-0.5,0,2
60,41,A,-0.5,0,4
19,41,A,-0.5,0,2
59,41,A,-0.5,0,2
15,41,A,-0.5,0,6
51,41,A,-0.5,0,3
8,41,A,-0.5,0,3
32,41,A,-0.5,0,5
6,41,A,-0.5,0,5
28,41,A,-0.5,0,2
10,41,A,-0.5,0,2
26,41,A,-0.5,0,5
53,41,A,-0.5,0,1
46,41,A,-0.5,0,3
24,41,A,-0.5,0,2
34,41,A,-0.5,0,1
16,41,A,-0.5,0,2
58,41,A,-0.5,0,1
12,41,A,-0.5,0,2
39,41,A,-0.5,0,4
38,41,A,-0.5,0,5
37,41,A,-0.5,0,6
43,41,A,-0.5,0,3
3,41,A,-0.5,0,4
54,41,A,-0.5,0,1
11,41,A,-0.5,0,1
61,41,A,-0.5,0,3
13,41,A,-0.5,0,1
70,41,A,-0.5,0,4
44,41,A,-0.5,0,4
14,41,A,-0.5,0,2
17,41,A,-0.5,0,3
27,41,A,-0.5,0,4
55,41,A,-0.5,0,5
36,41,A,-0.5,0,3
5,41,A,-0.5,0,2
21,41,A,-0.5,0,2
48,41,A,-0.5,0,4
23,41,A,-0.5,0,2
2,41,A,-0.5,0,3
35,41,A,-0.5,0,5
1,41,A,-0.5,0,5
67,41,A,-0.5,0,5
29,41,A,-0.5,0,6
52,41,A,-0.5,0,1
62,41,A,-0.5,0,6
50,41,A,-0.5,0,6
4,41,A,-0.5,0,5
9,41,A,-0.5,0,4
56,41,A,-0.5,0,7
49,41,A,-0.5,0,3
64,41,A,-0.5,0,1
47,41,A,-0.5,0,5
68,41,A,-0.5,0,2
63,41,A,-0.5,0,4
42,41,A,-0.5,0,3
31,41,A,-0.5,0,3
33,41,A,-0.5,0,1
57,41,A,-0.5,0,1
25,41,A,-0.5,0,4
45,41,A,-0.5,0,1
30,41,A,-0.5,0,5
18,41,A,-0.5,0,3
40,41,A,-0.5,0,5
65,41,A,-0.5,0,1
66,44,A,-0.5,0,5
20,44,A,-0.5,0,6
22,44,A,-0.5,0,5
69,44,A,-0.5,0,5
7,44,A,-0.5,0,2
41,44,A,-0.5,0,2
60,44,A,-0.5,0,4
19,44,A,-0.5,0,4
59,44,A,-0.5,0,2
15,44,A,-0.5,0,6
51,44,A,-0.5,0,1
8,44,A,-0.5,0,3
32,44,A,-0.5,0,2
6,44,A,-0.5,0,1
28,44,A,-0.5,0,3
10,44,A,-0.5,0,2
26,44,A,-0.5,0,5
